Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
PUD WHITE SHRIMP TITI 300-500 40LB MASTER,OTT3525400,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,40,40,,,,,,,,
PUD WHITE SHRIMP TITI 300-500 50LB BOX,OTT3525500,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,50,50,,,,,,,,
PUD TITI WHITE SHRIMP 150-200 5LB BLOCK PACIFIC PEARL,OTT9525054,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,5,5,,,,,,,,
PUD TITI WHITE SHRIMP 150-200 40LB MASTER PACIFIC PEARL,OTT9525404,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,40,40,,,,,,,,
KILLER BEE FROZEN IWP HEAD ON SHRIMP BAIT 15LB BOX,OWH0037151,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,15,15,,,,,,,,
KILLER BEE SHELF STABLE SHRIMP 24 UNIT CASE,OWH0080201,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,1,1,,,,,,,,
FROZEN BAIT  WHITE SHRIMP 4 OZ 20LB BOX,OWH0481200,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,20,20,,,,,,,,
FROZEN BAIT  IWP HEAD ON SHRIMP 8OZ BAG  20LB BOX,OWH0881202,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,20,22.12,,,,,,,,
FILETE DE ANGUILA S/T CAJA 20LB,PAN0014200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,20,,,,,,,,
FRESH PACIFIC BLACK GROUPER 10-20 LB 30LB BOX,PBG1201300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
